,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
GAMMA,0.8,0.8,0.99,0.99,0.8,0.8,0.99,0.99,0.8,0.8,0.99,0.99,0.8,0.8,0.99,0.99,0.8,0.8,0.99,0.99,0.8,0.8,0.99,0.99,0.8,0.8,0.99,0.99,0.8,0.8,0.99,0.99,0.8,0.8,0.99,0.99,0.8,0.8,0.99,0.99,0.8,0.8,0.99,0.99,0.8,0.8,0.99,0.99
GAE,0.95,0.99,0.95,0.99,0.95,0.99,0.95,0.99,0.95,0.99,0.95,0.99,0.95,0.99,0.95,0.99,0.95,0.99,0.95,0.99,0.95,0.99,0.95,0.99,0.95,0.99,0.95,0.99,0.95,0.99,0.95,0.99,0.95,0.99,0.95,0.99,0.95,0.99,0.95,0.99,0.95,0.99,0.95,0.99,0.95,0.99,0.95,0.99
CLIP,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3
CRITIC LOSS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1
ENTROPY LOSS,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
