Date,Open,High,Low,Close,Volume
2000-01-03,11501.8,11522,11305.7,11357.5,169680388
2000-01-04,11349.8,11350.1,10986.5,10997.9,178357418
2000-01-05,10989.4,11215.1,10938.7,11122.7,203266571
2000-01-06,11113.4,11313.5,11098.5,11253.3,176642517
2000-01-07,11247.1,11528.1,11239.9,11522.6,184926808
2000-01-10,11532.5,11638.3,11532.5,11572.2,168229080
2000-01-11,11568.5,11663.1,11502.7,11511.1,177377992
2000-01-12,11506.7,11612.5,11505.2,11551.1,194057310
2000-01-13,11558.2,11656.6,11524.1,11582.4,174907873
2000-01-14,11619.3,11750.3,11612.5,11723,266850796
2000-01-18,11719.2,11720.1,11546.5,11560.7,200152368
2000-01-19,11535.2,11574.7,11456,11489.4,193140549
2000-01-20,11490.3,11558.7,11275,11351.3,191210733
2000-01-21,11356.3,11387.6,11232.5,11251.7,205795059
2000-01-24,11251.9,11366.5,10917.3,11008.2,202756501
2000-01-25,11011,11079.5,10883.5,11029.9,209302320
2000-01-26,11025.8,11131,11002.6,11033,188875512
2000-01-27,11035.5,11164.1,10915.4,11028,194202842
2000-01-28,11024.9,11024.9,10735.8,10738.9,183014216
2000-01-31,10735.8,10956.7,10701.6,10940.5,191781186
2000-02-01,10937.7,11073.3,10908,11041,183170008
2000-02-02,11037.6,11118.9,10987.1,11003.2,164216530
2000-02-03,11010.5,11079.5,10842.3,11013.4,178630935
2000-02-04,11014.4,11089.5,10943,10963.8,166534710
2000-02-07,10966,10970.9,10846.2,10905.8,145742668
2000-02-08,10904.3,11023.1,10904.3,10957.6,168864939
2000-02-09,10948.8,10948.8,10698.8,10699.2,168525288
2000-02-10,10697.9,10738.2,10606.4,10643.6,156373485
2000-02-11,10638.6,10638.6,10357,10425.2,193558956
2000-02-14,10431.7,10549,10430.8,10519.8,167210595
2000-02-15,10520.2,10763.1,10494.5,10718.1,183387179
2000-02-16,10711.8,10741.7,10561.4,10561.4,163346853
2000-02-17,10565.8,10671.9,10454.6,10514.6,195857255
2000-02-18,10514.6,10517.8,10200,10219.5,208944703
2000-02-22,10219.8,10336.8,10103.8,10304.8,194414771
2000-02-23,10294.8,10338.3,10164.9,10225.7,185320316
2000-02-24,10242.5,10248.1,9942.78,10092.6,237584467
2000-02-25,10090.8,10132.4,9836.06,9862.12,195208913
2000-02-28,9854.66,10156.5,9842.57,10038.7,213142956
2000-02-29,10039.6,10204.9,10030,10128.3,191459168
2000-03-01,10128.1,10186.3,10084.6,10137.9,216835806
2000-03-02,10135.4,10212.4,10103.5,10164.9,206540612
2000-03-03,10171.1,10443.5,10171.1,10367.2,210537313
2000-03-06,10359,10384,10121.5,10170.5,172496067
2000-03-07,10197.6,10229.1,9752.68,9796.03,278179762
2000-03-08,9800.69,9918.89,9731.81,9856.53,223372377
2000-03-09,9855.29,10010.7,9738.95,10010.7,187276644
2000-03-10,10008.5,10091.4,9907.26,9928.82,197366048
2000-03-13,9911.22,9998.55,9735.54,9947.13,186147357
2000-03-14,9957.67,10043.3,9811.24,9811.24,186024438
2000-03-15,9808.15,10180.2,9776.49,10131.4,204987017
2000-03-16,10139.6,10632.5,10138.3,10630.6,253875423
2000-03-17,10630,10763.4,10567.3,10595.2,247835075
2000-03-20,10594.8,10727.7,10587,10680.2,177749959
2000-03-21,10680.2,10907.3,10603.6,10907.3,212029759
2000-03-22,10917,10917.3,10789.1,10866.7,195874938
2000-03-23,10884.4,11136.6,10831,11119.9,224808694
2000-03-24,11107.5,11234.7,11045.1,11112.7,217133277
2000-03-27,11093.2,11170.8,10982.7,11025.8,184900149
2000-03-28,11023.7,11094.3,10932.8,10936.1,177878709
2000-03-29,10939,11101.5,10910.8,11018.7,199399272
2000-03-30,11008.2,11144.1,10916.3,10980.2,214218892
2000-03-31,10993.3,11107.8,10921.9,10921.9,179648369
2000-04-03,10863.3,11223.8,10863,11221.9,279938450
2000-04-04,11225.3,11418.2,10717.8,11164.8,319262113
2000-04-05,11163.3,11218.2,11002.6,11033.9,189255018
2000-04-06,11029.6,11201.1,11029.6,11114.3,161820153
2000-04-07,11122,11192.5,11062.8,11111.5,156512799
2000-04-10,11114.9,11287.7,11097.2,11186.6,149992738
2000-04-11,11181,11361.2,11102.5,11287.1,171206255
2000-04-12,11283,11425.5,11116.8,11125.1,234734161
2000-04-13,11132.6,11144.1,10920.8,10923.5,200288664
2000-04-14,10922.8,10922.8,10201.5,10305.8,267626124
2000-04-17,10303.3,10583.8,10232.5,10582.5,247502218
2000-04-18,10584,10773.9,10571.3,10767.4,218315637
2000-04-19,10749,10789.4,10632.2,10675,193774184
2000-04-20,10668.2,10845.3,10665.1,10844,158296009
2000-04-24,10822.3,10910.8,10695.4,10906.1,295385390
2000-04-25,10916.7,11136.6,10881,11124.8,240190426
2000-04-26,11127.9,11141.8,10902,10945.5,198876072
2000-04-27,10941.9,10941.9,10747.2,10888.1,192895720
2000-04-28,10892.8,10959.2,10715.3,10733.9,173501190
2000-05-01,10749.4,10926.3,10724.2,10811.8,173957845
2000-05-02,10805.6,10824.5,10710,10731.1,208575999
2000-05-03,10732.2,10732.2,10400.1,10480.1,200240699
2000-05-04,10478.9,10631.5,10293,10412.5,169166093
2000-05-05,10409.7,10585.9,10375.8,10577.9,138349906
2000-05-08,10571.3,10627.8,10522.1,10603.6,144207325
2000-05-09,10607.5,10684.8,10514.2,10536.8,166318322
2000-05-10,10533.1,10533.1,10292.1,10367.8,226046298
2000-05-11,10369.3,10575.1,10369.3,10546,185661570
2000-05-12,10549.1,10673.8,10543.9,10609.4,137724489
2000-05-15,10607,10811.5,10605.3,10807.8,155847929
2000-05-16,10816,10971.2,10816,10934.6,181825634
2000-05-17,10930.6,10930.6,10752.6,10769.7,169599378
2000-05-18,10771.8,10864.3,10764.3,10777.3,161296959
2000-05-19,10764.2,10764.2,10570.7,10626.8,188290080
2000-05-22,10624.8,10664.5,10369.5,10542.5,185636883
2000-05-23,10539.1,10557.5,10416.8,10422.3,157075684
2000-05-24,10420.9,10554.9,10364,10535.3,225341561
2000-05-25,10529.9,10558.7,10266,10323.9,184374153
2000-05-26,10322.9,10387.7,10258.8,10299.2,129146750
2000-05-30,10302.3,10528.2,10302.3,10527.1,165353195
2000-05-31,10528.3,10599.4,10490.8,10522.3,162853421
2000-06-01,10532.3,10673.5,10513.1,10652.2,183891948
2000-06-02,10660.1,10846.1,10660.1,10794.8,200870928
2000-06-05,10793.1,10863,10752.3,10815.3,151210275
2000-06-06,10822.6,10822.6,10707.7,10735.6,169456847
2000-06-07,10733.5,10848.4,10695.2,10812.9,154375545
2000-06-08,10818.8,10823.7,10635.7,10668.7,176281358
2000-06-09,10678.5,10763.8,10588.3,10614.1,136791667
2000-06-12,10615.1,10652.6,10564.2,10564.2,136658944
2000-06-13,10562.3,10654.7,10492.8,10621.8,155191485
2000-06-14,10632.5,10737.7,10624.7,10688,166358008
2000-06-15,10689.6,10763.7,10669.2,10714.8,176262632
2000-06-16,10717.8,10724.8,10449.3,10449.3,233102791
2000-06-19,10448.4,10597.4,10440.1,10557.8,169395916
2000-06-20,10558.9,10561.4,10407.9,10435.2,179046871
2000-06-21,10446.8,10521.1,10410.1,10497.7,204627124
2000-06-22,10496,10496,10335.5,10376.1,189337079
2000-06-23,10376.5,10478.7,10376.5,10404.8,142447200
2000-06-26,10403.7,10566.7,10403.7,10543,157443373
2000-06-27,10541.6,10615.8,10504.5,10504.5,159285702
2000-06-28,10506.4,10620.4,10506.4,10527.8,189254602
2000-06-29,10523.9,10523.9,10359.8,10399.1,168765618
2000-06-30,10393.1,10448.2,10336.2,10447.9,224070526
2000-07-03,10450.4,10565.6,10422.1,10560.7,74684963
2000-07-05,10538.2,10572.7,10463.2,10483.6,154550789
2000-07-06,10481.5,10527.8,10393.1,10481.5,147214067
2000-07-07,10483.3,10658.2,10483.3,10636,158873284
2000-07-10,10627.1,10703.2,10604.9,10646.6,148485247
2000-07-11,10649.1,10807.5,10626.8,10727.2,160860095
2000-07-12,10722.2,10834.3,10722.2,10783.8,151345438
